#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -17.8694
  1.00031e+09      -17.898
  1.00062e+09     -17.9522
  1.00094e+09     -17.9784
  1.00125e+09     -18.0181
  1.00156e+09     -18.0418
  1.00188e+09     -18.0887
  1.00219e+09     -18.1151
   1.0025e+09     -18.1507
  1.00281e+09     -18.1804
  1.00312e+09     -18.2103
  1.00344e+09     -18.2545
  1.00375e+09     -18.2768
  1.00406e+09     -18.2994
  1.00438e+09     -18.3312
  1.00469e+09     -18.3437
    1.005e+09     -18.3758
  1.00531e+09     -18.3775
  1.00562e+09     -18.3988
  1.00594e+09     -18.4087
  1.00625e+09     -18.4139
  1.00656e+09     -18.4311
  1.00688e+09     -18.4425
  1.00719e+09      -18.452
   1.0075e+09     -18.4605
  1.00781e+09     -18.4657
  1.00812e+09     -18.4718
  1.00844e+09      -18.477
  1.00875e+09     -18.4823
  1.00906e+09     -18.4886
  1.00938e+09     -18.4936
  1.00969e+09     -18.4985
     1.01e+09     -18.5061
  1.01031e+09     -18.5128
  1.01062e+09     -18.5202
  1.01094e+09      -18.524
  1.01125e+09     -18.5324
  1.01156e+09     -18.5338
  1.01188e+09     -18.5419
  1.01219e+09     -18.5451
   1.0125e+09       -18.55
  1.01281e+09     -18.5529
  1.01312e+09     -18.5584
  1.01344e+09     -18.5597
  1.01375e+09     -18.5599
  1.01406e+09     -18.5613
  1.01438e+09     -18.5617
  1.01469e+09     -18.5646
    1.015e+09     -18.5635
  1.01531e+09     -18.5607
  1.01562e+09     -18.5558
  1.01594e+09     -18.5549
  1.01625e+09     -18.5521
  1.01656e+09      -18.554
  1.01688e+09      -18.551
  1.01719e+09     -18.5523
   1.0175e+09     -18.5523
  1.01781e+09     -18.5531
  1.01812e+09     -18.5555
  1.01844e+09     -18.5579
  1.01875e+09     -18.5631
  1.01906e+09      -18.565
  1.01938e+09     -18.5714
  1.01969e+09     -18.5754
     1.02e+09     -18.5841
  1.02031e+09     -18.5899
  1.02062e+09     -18.6001
  1.02094e+09     -18.6116
  1.02125e+09     -18.6199
  1.02156e+09     -18.6294
  1.02188e+09     -18.6387
  1.02219e+09     -18.6496
   1.0225e+09     -18.6585
  1.02281e+09     -18.6665
  1.02312e+09     -18.6737
  1.02344e+09     -18.6789
  1.02375e+09     -18.6844
  1.02406e+09     -18.6909
  1.02438e+09     -18.6945
  1.02469e+09     -18.6996
    1.025e+09     -18.7025
  1.02531e+09     -18.7005
  1.02562e+09      -18.709
  1.02594e+09      -18.711
  1.02625e+09     -18.7103
  1.02656e+09     -18.7161
  1.02688e+09       -18.72
  1.02719e+09     -18.7215
   1.0275e+09     -18.7267
  1.02781e+09     -18.7329
  1.02812e+09     -18.7351
  1.02844e+09      -18.743
  1.02875e+09     -18.7581
  1.02906e+09     -18.7688
  1.02938e+09     -18.7843
  1.02969e+09     -18.7993
     1.03e+09     -18.8225
  1.03031e+09     -18.8458
  1.03062e+09     -18.8715
  1.03094e+09     -18.8946
  1.03125e+09     -18.9227
  1.03156e+09     -18.9508
  1.03188e+09     -18.9808
  1.03219e+09     -19.0068
   1.0325e+09     -19.0344
  1.03281e+09     -19.0616
  1.03312e+09     -19.0879
  1.03344e+09      -19.111
  1.03375e+09     -19.1355
  1.03406e+09     -19.1538
  1.03438e+09     -19.1715
  1.03469e+09     -19.1877
    1.035e+09     -19.1985
  1.03531e+09      -19.204
  1.03562e+09     -19.2114
  1.03594e+09     -19.2137
  1.03625e+09     -19.2151
  1.03656e+09      -19.214
  1.03688e+09      -19.208
  1.03719e+09     -19.2079
   1.0375e+09     -19.2026
  1.03781e+09     -19.1961
  1.03812e+09      -19.194
  1.03844e+09     -19.1893
  1.03875e+09     -19.1879
  1.03906e+09     -19.1861
  1.03938e+09     -19.1874
  1.03969e+09     -19.1934
     1.04e+09     -19.2011
  1.04031e+09     -19.2117
  1.04062e+09     -19.2267
  1.04094e+09     -19.2498
  1.04125e+09      -19.271
  1.04156e+09     -19.2991
  1.04188e+09     -19.3311
  1.04219e+09     -19.3672
   1.0425e+09     -19.4002
  1.04281e+09     -19.4344
  1.04312e+09     -19.4756
  1.04344e+09     -19.5125
  1.04375e+09     -19.5486
  1.04406e+09     -19.5822
  1.04438e+09     -19.6163
  1.04469e+09     -19.6499
    1.045e+09     -19.6805
  1.04531e+09     -19.7101
  1.04562e+09     -19.7383
  1.04594e+09     -19.7698
  1.04625e+09      -19.796
  1.04656e+09     -19.8174
  1.04688e+09       -19.84
  1.04719e+09      -19.861
   1.0475e+09     -19.8787
  1.04781e+09     -19.8966
  1.04812e+09     -19.9133
  1.04844e+09     -19.9318
  1.04875e+09     -19.9514
  1.04906e+09     -19.9735
  1.04938e+09     -19.9985
  1.04969e+09     -20.0238
     1.05e+09     -20.0538
  1.05031e+09     -20.0913
  1.05062e+09      -20.132
  1.05094e+09     -20.1762
  1.05125e+09     -20.2284
  1.05156e+09     -20.2801
  1.05188e+09     -20.3472
  1.05219e+09      -20.411
   1.0525e+09     -20.4797
  1.05281e+09     -20.5568
  1.05312e+09     -20.6395
  1.05344e+09     -20.7201
  1.05375e+09     -20.8146
  1.05406e+09      -20.902
