#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
        1e+09      -37.494
  1.00031e+09     -37.5349
  1.00062e+09     -37.5812
  1.00094e+09     -37.5885
  1.00125e+09     -37.6225
  1.00156e+09     -37.6683
  1.00188e+09     -37.6806
  1.00219e+09     -37.7196
   1.0025e+09     -37.7181
  1.00281e+09     -37.7787
  1.00312e+09     -37.7821
  1.00344e+09     -37.8228
  1.00375e+09     -37.8546
  1.00406e+09     -37.8749
  1.00438e+09     -37.9136
  1.00469e+09     -37.9507
    1.005e+09     -37.9711
  1.00531e+09     -37.9979
  1.00562e+09     -38.0266
  1.00594e+09     -38.0638
  1.00625e+09     -38.1091
  1.00656e+09     -38.1314
  1.00688e+09     -38.1855
  1.00719e+09     -38.2297
   1.0075e+09     -38.2329
  1.00781e+09     -38.2713
  1.00812e+09     -38.2958
  1.00844e+09     -38.3513
  1.00875e+09     -38.3768
  1.00906e+09     -38.3937
  1.00938e+09     -38.4333
  1.00969e+09     -38.5027
     1.01e+09      -38.516
  1.01031e+09     -38.5325
  1.01062e+09     -38.5707
  1.01094e+09     -38.6052
  1.01125e+09     -38.6244
  1.01156e+09     -38.6767
  1.01188e+09     -38.7172
  1.01219e+09     -38.7391
   1.0125e+09     -38.8077
  1.01281e+09      -38.812
  1.01312e+09      -38.848
  1.01344e+09     -38.9029
  1.01375e+09     -38.9409
  1.01406e+09     -38.9882
  1.01438e+09     -39.0283
  1.01469e+09      -39.062
    1.015e+09      -39.115
  1.01531e+09     -39.1704
  1.01562e+09     -39.2081
  1.01594e+09     -39.2582
  1.01625e+09     -39.2793
  1.01656e+09     -39.3582
  1.01688e+09     -39.4201
  1.01719e+09     -39.4613
   1.0175e+09     -39.5046
  1.01781e+09     -39.5608
  1.01812e+09     -39.6154
  1.01844e+09     -39.6781
  1.01875e+09      -39.743
  1.01906e+09     -39.8086
  1.01938e+09     -39.8341
  1.01969e+09     -39.8998
     1.02e+09     -39.9939
  1.02031e+09      -40.043
  1.02062e+09     -40.0959
  1.02094e+09       -40.14
  1.02125e+09     -40.2475
  1.02156e+09     -40.2952
  1.02188e+09     -40.3809
  1.02219e+09     -40.4499
   1.0225e+09     -40.5455
  1.02281e+09     -40.6126
  1.02312e+09     -40.7212
  1.02344e+09      -40.781
  1.02375e+09     -40.8783
  1.02406e+09     -40.9582
