#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -45.1765
  1.00031e+09      -45.181
  1.00062e+09     -45.1435
  1.00094e+09     -45.1536
  1.00125e+09     -45.0982
  1.00156e+09     -45.1019
  1.00188e+09     -45.0497
  1.00219e+09     -45.0207
   1.0025e+09     -44.9771
  1.00281e+09     -44.9135
  1.00312e+09     -44.8723
  1.00344e+09     -44.8324
  1.00375e+09     -44.8002
  1.00406e+09     -44.7317
  1.00438e+09     -44.7288
  1.00469e+09     -44.6201
    1.005e+09      -44.605
  1.00531e+09     -44.5482
  1.00562e+09     -44.5153
  1.00594e+09     -44.4232
  1.00625e+09     -44.3993
  1.00656e+09     -44.3077
  1.00688e+09     -44.2779
  1.00719e+09     -44.2581
   1.0075e+09     -44.1687
  1.00781e+09      -44.108
  1.00812e+09     -44.0949
  1.00844e+09     -44.0239
  1.00875e+09     -43.9526
  1.00906e+09     -43.8788
  1.00938e+09     -43.8011
  1.00969e+09     -43.7582
     1.01e+09      -43.712
  1.01031e+09     -43.6536
  1.01062e+09     -43.5852
  1.01094e+09     -43.5311
  1.01125e+09      -43.452
  1.01156e+09     -43.4107
  1.01188e+09      -43.304
  1.01219e+09     -43.2402
   1.0125e+09     -43.1982
  1.01281e+09     -43.1493
  1.01312e+09     -43.0352
  1.01344e+09     -43.0142
  1.01375e+09     -42.9276
  1.01406e+09     -42.8543
  1.01438e+09     -42.8085
  1.01469e+09     -42.7483
    1.015e+09     -42.7171
  1.01531e+09     -42.6679
  1.01562e+09      -42.594
  1.01594e+09     -42.5053
  1.01625e+09     -42.4517
  1.01656e+09     -42.4133
  1.01688e+09     -42.3338
  1.01719e+09     -42.2831
   1.0175e+09     -42.2183
  1.01781e+09     -42.1765
  1.01812e+09     -42.1119
  1.01844e+09     -42.0591
  1.01875e+09     -41.9753
  1.01906e+09     -41.9169
  1.01938e+09     -41.8605
  1.01969e+09     -41.8035
     1.02e+09     -41.7276
  1.02031e+09     -41.6808
  1.02062e+09     -41.6455
  1.02094e+09     -41.5836
  1.02125e+09      -41.519
  1.02156e+09      -41.455
  1.02188e+09     -41.3774
  1.02219e+09     -41.3246
   1.0225e+09     -41.2873
  1.02281e+09     -41.2387
  1.02312e+09     -41.1689
  1.02344e+09     -41.1268
  1.02375e+09     -41.0804
  1.02406e+09     -41.0294
  1.02438e+09     -40.9989
  1.02469e+09     -40.9535
    1.025e+09     -40.9016
  1.02531e+09     -40.8956
  1.02562e+09     -40.8378
  1.02594e+09     -40.7956
  1.02625e+09     -40.7888
  1.02656e+09     -40.7506
  1.02688e+09     -40.7251
  1.02719e+09     -40.6726
   1.0275e+09     -40.6243
  1.02781e+09     -40.6067
  1.02812e+09     -40.5875
  1.02844e+09     -40.5205
  1.02875e+09     -40.5006
  1.02906e+09      -40.468
  1.02938e+09     -40.4061
  1.02969e+09     -40.3804
     1.03e+09     -40.3185
  1.03031e+09     -40.2923
  1.03062e+09     -40.2545
  1.03094e+09     -40.1884
  1.03125e+09     -40.1289
  1.03156e+09     -40.0883
  1.03188e+09     -40.0381
  1.03219e+09     -39.9585
   1.0325e+09     -39.9144
  1.03281e+09     -39.8592
  1.03312e+09     -39.7971
  1.03344e+09      -39.759
  1.03375e+09     -39.6983
  1.03406e+09     -39.6474
  1.03438e+09     -39.6172
  1.03469e+09     -39.5442
    1.035e+09     -39.5175
  1.03531e+09      -39.465
  1.03562e+09     -39.4261
  1.03594e+09     -39.3834
  1.03625e+09     -39.3472
  1.03656e+09     -39.3239
  1.03688e+09     -39.3002
  1.03719e+09     -39.2638
   1.0375e+09     -39.2458
  1.03781e+09      -39.225
  1.03812e+09     -39.1918
  1.03844e+09     -39.1712
  1.03875e+09     -39.1295
  1.03906e+09     -39.1407
  1.03938e+09     -39.1249
  1.03969e+09     -39.1045
     1.04e+09     -39.0628
  1.04031e+09     -39.0558
  1.04062e+09     -39.0038
  1.04094e+09     -38.9719
  1.04125e+09     -38.9347
  1.04156e+09     -38.8896
  1.04188e+09     -38.8737
  1.04219e+09     -38.8281
   1.0425e+09      -38.794
  1.04281e+09     -38.7494
  1.04312e+09     -38.7048
  1.04344e+09     -38.6619
  1.04375e+09     -38.6095
  1.04406e+09     -38.5734
  1.04438e+09     -38.5319
  1.04469e+09     -38.4844
    1.045e+09     -38.4684
  1.04531e+09     -38.4138
  1.04562e+09      -38.403
  1.04594e+09     -38.3956
  1.04625e+09      -38.342
  1.04656e+09     -38.3339
  1.04688e+09      -38.331
  1.04719e+09     -38.3329
   1.0475e+09     -38.3582
  1.04781e+09      -38.367
  1.04812e+09     -38.3762
  1.04844e+09     -38.3849
  1.04875e+09     -38.4142
  1.04906e+09     -38.4403
  1.04938e+09     -38.4833
  1.04969e+09     -38.5268
     1.05e+09     -38.5522
  1.05031e+09     -38.6006
  1.05062e+09     -38.6658
  1.05094e+09     -38.6988
  1.05125e+09     -38.7436
  1.05156e+09     -38.8329
  1.05188e+09      -38.862
  1.05219e+09     -38.9199
   1.0525e+09     -38.9691
  1.05281e+09     -39.0351
  1.05312e+09     -39.0969
  1.05344e+09     -39.1204
  1.05375e+09     -39.2082
  1.05406e+09     -39.2841
  1.05438e+09     -39.3094
  1.05469e+09     -39.3634
    1.055e+09     -39.4129
  1.05531e+09     -39.4542
  1.05562e+09     -39.4823
  1.05594e+09     -39.5315
  1.05625e+09     -39.5719
  1.05656e+09      -39.578
  1.05688e+09     -39.6302
  1.05719e+09     -39.6047
   1.0575e+09     -39.6278
  1.05781e+09     -39.6107
  1.05812e+09      -39.607
  1.05844e+09     -39.5677
  1.05875e+09     -39.5232
  1.05906e+09     -39.4981
  1.05938e+09     -39.4388
  1.05969e+09     -39.3681
     1.06e+09     -39.2506
  1.06031e+09     -39.1735
  1.06062e+09     -39.0768
  1.06094e+09     -38.9912
  1.06125e+09     -38.8813
  1.06156e+09     -38.7808
  1.06188e+09     -38.6545
  1.06219e+09     -38.5563
   1.0625e+09     -38.4785
  1.06281e+09     -38.3924
  1.06312e+09     -38.3141
  1.06344e+09      -38.239
  1.06375e+09     -38.1822
  1.06406e+09     -38.1158
  1.06438e+09     -38.0851
  1.06469e+09     -38.0464
    1.065e+09     -37.9894
  1.06531e+09     -37.9791
  1.06562e+09     -37.9536
  1.06594e+09     -37.9649
  1.06625e+09     -37.9695
  1.06656e+09     -37.9901
  1.06688e+09     -37.9842
  1.06719e+09     -37.9962
   1.0675e+09     -38.0162
  1.06781e+09     -38.0481
  1.06812e+09     -38.0765
  1.06844e+09     -38.1152
  1.06875e+09     -38.1547
  1.06906e+09     -38.1862
  1.06938e+09     -38.2425
  1.06969e+09     -38.2937
     1.07e+09     -38.3319
  1.07031e+09     -38.3864
  1.07062e+09     -38.4261
  1.07094e+09     -38.4852
  1.07125e+09     -38.5146
  1.07156e+09      -38.587
  1.07188e+09     -38.6247
  1.07219e+09     -38.6953
   1.0725e+09     -38.7388
  1.07281e+09     -38.7824
  1.07312e+09     -38.8956
  1.07344e+09     -38.9241
  1.07375e+09     -38.9965
  1.07406e+09     -39.0326
  1.07438e+09     -39.0681
  1.07469e+09     -39.1063
    1.075e+09     -39.1385
  1.07531e+09     -39.1582
  1.07562e+09     -39.1846
  1.07594e+09     -39.1885
  1.07625e+09     -39.1988
  1.07656e+09     -39.2127
  1.07688e+09     -39.1957
  1.07719e+09     -39.1824
   1.0775e+09     -39.1834
  1.07781e+09     -39.1454
  1.07812e+09     -39.0888
  1.07844e+09     -39.0534
  1.07875e+09     -39.0027
  1.07906e+09     -38.9505
  1.07938e+09     -38.9016
  1.07969e+09     -38.8414
     1.08e+09     -38.7631
  1.08031e+09      -38.684
  1.08062e+09      -38.609
  1.08094e+09     -38.5192
  1.08125e+09     -38.4606
  1.08156e+09     -38.3741
  1.08188e+09     -38.2997
  1.08219e+09     -38.2261
   1.0825e+09     -38.1249
  1.08281e+09     -38.0761
  1.08312e+09     -37.9802
  1.08344e+09     -37.9086
  1.08375e+09     -37.8435
  1.08406e+09     -37.7802
  1.08438e+09     -37.6936
  1.08469e+09     -37.6646
    1.085e+09     -37.5971
  1.08531e+09     -37.5163
  1.08562e+09     -37.4839
  1.08594e+09     -37.4285
  1.08625e+09     -37.3941
