#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -40.8444
  1.00031e+09     -40.8413
  1.00062e+09     -40.7881
  1.00094e+09     -40.7612
  1.00125e+09     -40.6845
  1.00156e+09      -40.608
  1.00188e+09     -40.5992
  1.00219e+09     -40.5332
   1.0025e+09     -40.4724
  1.00281e+09     -40.3854
  1.00312e+09     -40.3133
  1.00344e+09     -40.2416
  1.00375e+09     -40.1756
  1.00406e+09     -40.0929
  1.00438e+09      -40.039
  1.00469e+09     -39.9762
    1.005e+09     -39.8776
  1.00531e+09     -39.8335
  1.00562e+09     -39.7318
  1.00594e+09     -39.6485
  1.00625e+09     -39.5619
  1.00656e+09     -39.4985
  1.00688e+09     -39.4105
  1.00719e+09     -39.3368
   1.0075e+09     -39.2539
  1.00781e+09     -39.1757
  1.00812e+09     -39.0918
  1.00844e+09     -39.0058
  1.00875e+09     -38.9067
  1.00906e+09     -38.8602
  1.00938e+09     -38.7479
  1.00969e+09     -38.6782
     1.01e+09     -38.5804
  1.01031e+09     -38.4682
  1.01062e+09     -38.4054
  1.01094e+09     -38.3129
  1.01125e+09     -38.2354
  1.01156e+09     -38.1742
  1.01188e+09     -38.0407
  1.01219e+09     -37.9632
   1.0125e+09     -37.8765
  1.01281e+09     -37.7735
  1.01312e+09     -37.7109
  1.01344e+09     -37.6261
  1.01375e+09     -37.5584
  1.01406e+09      -37.474
  1.01438e+09     -37.4081
  1.01469e+09     -37.3328
    1.015e+09     -37.2636
  1.01531e+09     -37.1867
  1.01562e+09     -37.1267
  1.01594e+09     -37.0422
  1.01625e+09     -36.9927
  1.01656e+09     -36.9124
  1.01688e+09     -36.8521
  1.01719e+09     -36.8057
   1.0175e+09     -36.7173
  1.01781e+09     -36.6856
  1.01812e+09     -36.6408
  1.01844e+09      -36.569
  1.01875e+09     -36.4933
  1.01906e+09     -36.4559
  1.01938e+09     -36.4139
  1.01969e+09     -36.3558
     1.02e+09     -36.3131
  1.02031e+09     -36.2792
  1.02062e+09     -36.2113
  1.02094e+09     -36.1847
  1.02125e+09     -36.1423
  1.02156e+09     -36.1024
  1.02188e+09     -36.0668
  1.02219e+09     -36.0416
   1.0225e+09     -36.0024
  1.02281e+09     -35.9833
  1.02312e+09     -35.9556
  1.02344e+09     -35.9273
  1.02375e+09     -35.9229
  1.02406e+09     -35.8898
  1.02438e+09     -35.9054
  1.02469e+09     -35.8782
    1.025e+09     -35.8853
  1.02531e+09     -35.8681
  1.02562e+09     -35.8838
  1.02594e+09     -35.8779
  1.02625e+09     -35.8957
  1.02656e+09     -35.8946
  1.02688e+09     -35.9044
  1.02719e+09     -35.9144
   1.0275e+09     -35.9165
  1.02781e+09     -35.9411
  1.02812e+09     -35.9495
  1.02844e+09     -35.9457
  1.02875e+09     -35.9769
  1.02906e+09      -35.991
  1.02938e+09     -35.9968
  1.02969e+09     -36.0014
     1.03e+09     -36.0262
  1.03031e+09     -36.0459
  1.03062e+09       -36.05
  1.03094e+09     -36.0471
  1.03125e+09     -36.0484
  1.03156e+09     -36.0594
  1.03188e+09     -36.0703
  1.03219e+09     -36.0639
   1.0325e+09     -36.0535
  1.03281e+09     -36.0676
  1.03312e+09     -36.0767
  1.03344e+09      -36.072
