#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -100.571
  1.00031e+09     -100.148
  1.00062e+09     -100.673
  1.00094e+09      -98.532
  1.00125e+09     -101.011
  1.00156e+09     -96.3404
  1.00188e+09      -94.794
  1.00219e+09     -97.7206
   1.0025e+09     -100.957
  1.00281e+09     -97.3376
  1.00312e+09     -97.6778
  1.00344e+09     -101.001
  1.00375e+09     -98.8538
  1.00406e+09     -100.407
  1.00438e+09     -97.5296
  1.00469e+09     -98.8289
    1.005e+09     -96.1643
  1.00531e+09     -102.664
  1.00562e+09      -98.166
  1.00594e+09     -98.0376
  1.00625e+09      -100.38
  1.00656e+09     -106.859
  1.00688e+09     -105.843
  1.00719e+09     -97.7939
   1.0075e+09     -100.989
  1.00781e+09     -101.916
  1.00812e+09     -102.281
  1.00844e+09     -99.1437
  1.00875e+09     -100.038
  1.00906e+09     -99.8601
  1.00938e+09     -102.884
  1.00969e+09     -103.401
     1.01e+09     -99.4598
  1.01031e+09     -98.7433
  1.01062e+09     -99.0301
  1.01094e+09     -98.7268
  1.01125e+09     -95.5774
  1.01156e+09     -98.5556
  1.01188e+09     -98.3549
  1.01219e+09     -96.4585
   1.0125e+09     -95.8567
  1.01281e+09      -94.128
  1.01312e+09     -98.3205
  1.01344e+09     -95.8413
  1.01375e+09     -97.4642
  1.01406e+09      -96.988
  1.01438e+09     -95.5799
  1.01469e+09     -96.6256
    1.015e+09     -97.6311
  1.01531e+09      -96.048
  1.01562e+09      -94.139
  1.01594e+09     -97.2477
  1.01625e+09     -95.9575
  1.01656e+09     -95.8378
  1.01688e+09     -98.8426
  1.01719e+09     -96.3937
   1.0175e+09     -96.1862
  1.01781e+09     -95.8555
  1.01812e+09     -98.5128
  1.01844e+09     -96.4386
  1.01875e+09     -99.1823
  1.01906e+09     -95.7576
  1.01938e+09     -94.1616
  1.01969e+09     -100.135
     1.02e+09     -97.9834
  1.02031e+09     -96.1144
  1.02062e+09     -98.8416
  1.02094e+09      -96.221
  1.02125e+09     -97.2439
  1.02156e+09     -99.8376
  1.02188e+09     -96.5597
  1.02219e+09     -97.4787
   1.0225e+09     -95.1092
  1.02281e+09     -96.7317
  1.02312e+09     -93.4113
  1.02344e+09     -96.5789
  1.02375e+09     -91.7785
  1.02406e+09     -91.4518
  1.02438e+09     -91.5262
  1.02469e+09     -91.8644
    1.025e+09     -89.5459
  1.02531e+09     -89.2776
  1.02562e+09     -87.2168
  1.02594e+09      -85.908
  1.02625e+09     -85.2806
  1.02656e+09      -86.135
  1.02688e+09     -88.7485
  1.02719e+09     -89.7737
   1.0275e+09      -91.168
  1.02781e+09     -94.5756
  1.02812e+09     -100.421
  1.02844e+09     -105.983
  1.02875e+09     -101.588
  1.02906e+09     -105.636
  1.02938e+09      -105.96
  1.02969e+09     -102.575
     1.03e+09     -113.202
  1.03031e+09      -110.27
  1.03062e+09     -106.714
  1.03094e+09     -102.256
  1.03125e+09     -106.786
  1.03156e+09     -103.348
  1.03188e+09     -104.951
  1.03219e+09      -108.59
   1.0325e+09     -103.989
  1.03281e+09     -110.176
  1.03312e+09     -124.999
  1.03344e+09     -106.174
  1.03375e+09      -107.19
  1.03406e+09     -108.083
  1.03438e+09     -126.387
  1.03469e+09     -108.899
    1.035e+09      -105.94
  1.03531e+09     -102.881
  1.03562e+09      -135.39
  1.03594e+09     -99.7087
  1.03625e+09     -110.311
  1.03656e+09     -106.255
  1.03688e+09      -102.77
  1.03719e+09     -103.825
   1.0375e+09     -102.694
  1.03781e+09     -106.719
  1.03812e+09     -101.161
  1.03844e+09     -110.639
  1.03875e+09     -118.493
  1.03906e+09      -100.25
  1.03938e+09     -98.4577
  1.03969e+09     -101.839
     1.04e+09     -105.978
  1.04031e+09     -104.953
  1.04062e+09     -102.351
  1.04094e+09     -106.141
  1.04125e+09       -117.6
  1.04156e+09     -103.754
  1.04188e+09     -103.662
  1.04219e+09     -116.366
   1.0425e+09     -119.042
  1.04281e+09     -104.989
  1.04312e+09     -106.195
  1.04344e+09     -116.775
  1.04375e+09     -108.267
  1.04406e+09     -100.347
  1.04438e+09     -104.157
  1.04469e+09     -107.184
    1.045e+09     -105.617
  1.04531e+09     -106.535
  1.04562e+09     -108.526
  1.04594e+09     -104.261
  1.04625e+09     -107.175
  1.04656e+09     -106.353
  1.04688e+09     -108.554
  1.04719e+09      -104.17
   1.0475e+09     -108.423
  1.04781e+09     -105.278
  1.04812e+09     -107.683
  1.04844e+09     -109.403
  1.04875e+09     -100.396
  1.04906e+09     -101.896
  1.04938e+09     -98.1092
  1.04969e+09     -99.9344
     1.05e+09     -99.1209
  1.05031e+09     -99.5091
  1.05062e+09     -101.422
  1.05094e+09      -103.58
  1.05125e+09     -100.927
  1.05156e+09     -101.306
  1.05188e+09     -100.089
  1.05219e+09     -100.327
   1.0525e+09     -97.2552
  1.05281e+09     -97.3747
  1.05312e+09     -97.9727
  1.05344e+09     -97.4787
  1.05375e+09     -99.2318
  1.05406e+09     -97.5793
  1.05438e+09     -101.424
  1.05469e+09     -98.2164
    1.055e+09     -99.7758
  1.05531e+09     -101.487
  1.05562e+09     -96.9124
  1.05594e+09     -100.349
  1.05625e+09     -102.787
  1.05656e+09     -97.0578
  1.05688e+09     -96.3296
  1.05719e+09     -96.1283
   1.0575e+09     -95.1673
  1.05781e+09     -98.8037
  1.05812e+09      -96.306
  1.05844e+09     -96.2658
  1.05875e+09     -96.4603
  1.05906e+09      -94.769
  1.05938e+09     -94.2743
  1.05969e+09     -95.7235
     1.06e+09     -96.0739
  1.06031e+09     -94.7813
  1.06062e+09     -93.8196
  1.06094e+09     -93.1967
  1.06125e+09     -91.8207
  1.06156e+09     -91.0116
  1.06188e+09     -92.3245
  1.06219e+09     -90.9335
   1.0625e+09     -90.8909
  1.06281e+09     -89.1641
  1.06312e+09     -88.5369
  1.06344e+09     -90.1482
  1.06375e+09     -89.3316
  1.06406e+09     -89.5334
  1.06438e+09     -88.8643
  1.06469e+09     -89.2314
    1.065e+09     -88.6326
  1.06531e+09      -88.995
  1.06562e+09     -88.1492
  1.06594e+09      -88.177
  1.06625e+09      -88.446
  1.06656e+09     -89.1289
  1.06688e+09     -90.1119
  1.06719e+09     -89.5724
   1.0675e+09      -88.115
  1.06781e+09     -89.1362
  1.06812e+09       -90.16
  1.06844e+09     -90.0023
  1.06875e+09     -89.5643
  1.06906e+09     -89.2763
  1.06938e+09     -88.9086
  1.06969e+09     -91.3902
     1.07e+09      -89.873
  1.07031e+09     -91.6432
  1.07062e+09     -92.8375
  1.07094e+09     -95.2314
  1.07125e+09     -92.7966
  1.07156e+09     -99.2133
  1.07188e+09     -98.1402
  1.07219e+09     -96.7729
   1.0725e+09     -98.5933
  1.07281e+09     -98.6028
  1.07312e+09     -94.9135
  1.07344e+09     -97.7348
  1.07375e+09     -95.0681
  1.07406e+09     -99.2201
  1.07438e+09      -98.068
  1.07469e+09     -96.1904
    1.075e+09     -101.044
  1.07531e+09     -95.9596
  1.07562e+09     -95.7382
  1.07594e+09     -99.0746
  1.07625e+09     -99.4276
  1.07656e+09     -98.7864
  1.07688e+09      -98.269
  1.07719e+09      -102.51
   1.0775e+09     -99.6053
  1.07781e+09     -100.045
  1.07812e+09     -97.6481
  1.07844e+09     -96.1175
  1.07875e+09     -96.6597
  1.07906e+09     -95.7605
  1.07938e+09     -95.3808
  1.07969e+09     -97.4865
     1.08e+09     -95.9097
  1.08031e+09     -104.318
  1.08062e+09     -99.8035
  1.08094e+09     -96.1504
  1.08125e+09      -99.651
  1.08156e+09     -98.5167
  1.08188e+09     -102.084
  1.08219e+09     -97.5983
   1.0825e+09     -100.533
  1.08281e+09      -102.65
  1.08312e+09     -99.2865
  1.08344e+09     -103.322
  1.08375e+09     -101.438
  1.08406e+09     -100.198
  1.08438e+09       -99.12
  1.08469e+09     -105.785
    1.085e+09     -104.921
  1.08531e+09     -105.978
  1.08562e+09     -104.652
  1.08594e+09     -101.672
  1.08625e+09     -101.701
  1.08656e+09     -101.955
  1.08688e+09     -109.032
  1.08719e+09     -102.714
   1.0875e+09     -105.132
  1.08781e+09      -102.83
  1.08812e+09     -110.288
  1.08844e+09     -114.929
  1.08875e+09     -110.427
  1.08906e+09     -99.5582
  1.08938e+09     -104.914
  1.08969e+09     -105.738
     1.09e+09      -104.24
  1.09031e+09     -99.7984
  1.09062e+09     -107.157
  1.09094e+09     -111.213
  1.09125e+09     -106.572
  1.09156e+09      -100.57
  1.09188e+09     -111.003
  1.09219e+09     -106.915
   1.0925e+09     -106.291
  1.09281e+09     -103.691
  1.09312e+09     -99.7936
  1.09344e+09     -107.841
  1.09375e+09     -104.429
  1.09406e+09     -106.967
  1.09438e+09     -99.7838
  1.09469e+09     -102.096
    1.095e+09     -118.185
  1.09531e+09     -105.662
  1.09562e+09     -100.692
  1.09594e+09     -103.093
  1.09625e+09     -101.685
  1.09656e+09     -107.601
  1.09688e+09     -100.623
  1.09719e+09     -105.455
   1.0975e+09     -101.763
  1.09781e+09     -104.203
  1.09812e+09     -101.254
  1.09844e+09     -113.908
  1.09875e+09     -105.157
  1.09906e+09     -105.779
  1.09938e+09     -100.802
  1.09969e+09     -100.859
      1.1e+09     -108.595
  1.10031e+09     -99.8031
  1.10062e+09     -99.4942
  1.10094e+09     -108.231
  1.10125e+09      -99.453
  1.10156e+09     -101.722
  1.10188e+09     -102.143
  1.10219e+09     -102.797
   1.1025e+09     -104.016
  1.10281e+09     -102.219
  1.10312e+09     -103.387
  1.10344e+09     -114.609
  1.10375e+09     -103.339
  1.10406e+09     -100.392
  1.10438e+09     -112.063
  1.10469e+09     -110.247
    1.105e+09     -104.052
  1.10531e+09     -101.132
  1.10562e+09      -100.85
  1.10594e+09     -101.872
  1.10625e+09     -103.188
  1.10656e+09     -107.427
  1.10688e+09     -109.688
  1.10719e+09     -100.927
   1.1075e+09     -100.049
  1.10781e+09     -100.269
  1.10812e+09     -100.263
  1.10844e+09     -101.416
  1.10875e+09     -99.1519
  1.10906e+09     -100.358
  1.10938e+09     -101.939
  1.10969e+09     -97.0458
     1.11e+09     -100.773
  1.11031e+09     -99.3693
  1.11062e+09     -98.0855
  1.11094e+09     -98.1311
  1.11125e+09     -99.3694
  1.11156e+09     -97.7199
  1.11188e+09     -99.7874
  1.11219e+09     -94.6905
   1.1125e+09     -98.1548
  1.11281e+09     -99.1949
  1.11312e+09     -96.6729
  1.11344e+09     -96.0532
  1.11375e+09     -96.0828
  1.11406e+09     -96.9009
  1.11438e+09     -98.6309
  1.11469e+09     -100.291
    1.115e+09     -96.3879
  1.11531e+09     -100.784
  1.11562e+09     -97.5792
  1.11594e+09       -96.74
  1.11625e+09      -98.612
  1.11656e+09     -98.5492
  1.11688e+09     -96.4657
  1.11719e+09     -99.0648
   1.1175e+09     -96.4255
  1.11781e+09     -98.7564
  1.11812e+09     -100.916
  1.11844e+09     -99.8662
  1.11875e+09     -98.5524
  1.11906e+09     -98.6688
  1.11938e+09     -97.6535
  1.11969e+09     -100.123
     1.12e+09     -100.639
  1.12031e+09     -102.232
  1.12062e+09      -103.42
  1.12094e+09      -105.02
  1.12125e+09     -99.6754
  1.12156e+09     -100.004
  1.12188e+09     -110.572
  1.12219e+09     -100.768
   1.1225e+09     -109.145
  1.12281e+09     -106.411
  1.12312e+09     -100.488
  1.12344e+09     -102.176
  1.12375e+09     -100.454
  1.12406e+09     -103.813
  1.12438e+09      -100.31
  1.12469e+09     -101.949
    1.125e+09      -98.861
  1.12531e+09       -98.29
  1.12562e+09     -101.821
  1.12594e+09     -100.451
  1.12625e+09     -99.8081
  1.12656e+09     -96.8751
  1.12688e+09     -100.253
  1.12719e+09     -101.718
   1.1275e+09     -96.2847
  1.12781e+09     -98.4006
  1.12812e+09     -96.5972
  1.12844e+09     -97.8565
  1.12875e+09     -100.067
  1.12906e+09     -102.726
  1.12938e+09     -97.6939
  1.12969e+09     -98.5745
     1.13e+09      -99.935
  1.13031e+09     -98.4683
  1.13062e+09     -98.1829
  1.13094e+09     -97.5737
  1.13125e+09      -97.011
  1.13156e+09     -100.235
  1.13188e+09     -99.2336
  1.13219e+09     -100.855
   1.1325e+09      -97.567
  1.13281e+09     -98.0806
  1.13312e+09     -99.8637
  1.13344e+09     -99.0646
  1.13375e+09     -101.039
  1.13406e+09     -102.743
  1.13438e+09     -104.964
  1.13469e+09     -100.946
    1.135e+09     -100.239
  1.13531e+09     -101.845
  1.13562e+09     -104.099
  1.13594e+09     -108.143
  1.13625e+09     -117.229
  1.13656e+09     -105.659
  1.13688e+09     -103.445
  1.13719e+09     -105.884
   1.1375e+09     -117.309
  1.13781e+09     -110.875
  1.13812e+09     -107.616
  1.13844e+09         -117
  1.13875e+09     -119.358
  1.13906e+09     -112.276
  1.13938e+09      -106.49
  1.13969e+09     -113.309
     1.14e+09     -104.871
  1.14031e+09     -121.196
  1.14062e+09     -111.687
  1.14094e+09     -107.026
  1.14125e+09     -113.418
  1.14156e+09     -117.341
  1.14188e+09     -106.706
  1.14219e+09     -103.219
   1.1425e+09     -98.8946
  1.14281e+09     -101.972
  1.14312e+09     -99.1862
  1.14344e+09     -97.9457
  1.14375e+09     -103.175
  1.14406e+09      -96.487
  1.14438e+09     -97.6221
  1.14469e+09     -97.8434
    1.145e+09     -95.5345
  1.14531e+09     -96.1628
  1.14562e+09     -96.6889
  1.14594e+09     -97.6985
  1.14625e+09     -97.2406
  1.14656e+09     -98.4384
  1.14688e+09     -99.1355
  1.14719e+09     -100.475
   1.1475e+09     -101.352
  1.14781e+09     -99.2556
  1.14812e+09     -99.9838
  1.14844e+09     -96.5817
  1.14875e+09     -99.9015
  1.14906e+09     -102.355
  1.14938e+09     -100.095
  1.14969e+09      -103.27
     1.15e+09     -99.2873
  1.15031e+09     -104.593
  1.15062e+09     -103.923
  1.15094e+09     -102.005
