#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -94.4447
  1.00031e+09     -96.8784
  1.00062e+09     -102.359
  1.00094e+09     -95.8407
  1.00125e+09     -99.8895
  1.00156e+09     -95.9272
  1.00188e+09     -104.995
  1.00219e+09      -96.855
   1.0025e+09     -99.2653
  1.00281e+09     -100.546
  1.00312e+09     -100.022
  1.00344e+09     -99.3419
  1.00375e+09     -100.262
  1.00406e+09     -95.1152
  1.00438e+09     -99.6577
  1.00469e+09     -95.9151
    1.005e+09     -99.6596
  1.00531e+09     -100.273
  1.00562e+09     -101.255
  1.00594e+09     -96.7486
  1.00625e+09     -97.3416
  1.00656e+09     -99.2377
  1.00688e+09     -96.4038
  1.00719e+09     -97.6627
   1.0075e+09     -98.5441
  1.00781e+09     -96.4919
  1.00812e+09     -95.6088
  1.00844e+09     -96.4936
  1.00875e+09     -95.8211
  1.00906e+09     -97.3335
  1.00938e+09     -97.0635
  1.00969e+09     -94.5996
     1.01e+09     -98.2417
  1.01031e+09     -96.0162
  1.01062e+09     -96.3765
  1.01094e+09     -97.1824
  1.01125e+09     -93.0501
  1.01156e+09     -94.8413
  1.01188e+09     -95.0091
  1.01219e+09      -94.621
   1.0125e+09     -96.2024
  1.01281e+09     -96.2612
  1.01312e+09     -93.5794
  1.01344e+09     -93.2997
  1.01375e+09     -92.9462
  1.01406e+09     -94.9273
  1.01438e+09     -93.5374
  1.01469e+09     -92.5764
    1.015e+09     -95.0191
  1.01531e+09     -93.5738
  1.01562e+09     -92.9579
  1.01594e+09      -92.523
  1.01625e+09     -93.1909
  1.01656e+09     -94.1824
  1.01688e+09     -93.9985
  1.01719e+09     -94.0449
   1.0175e+09     -93.6793
  1.01781e+09     -94.8917
  1.01812e+09     -95.1469
  1.01844e+09     -97.3993
  1.01875e+09     -93.7692
  1.01906e+09     -93.9755
  1.01938e+09      -95.716
  1.01969e+09      -95.909
     1.02e+09     -96.9221
  1.02031e+09     -93.8651
  1.02062e+09     -96.3245
  1.02094e+09     -95.0452
  1.02125e+09     -95.3155
  1.02156e+09      -93.175
  1.02188e+09      -93.166
  1.02219e+09     -95.0721
   1.0225e+09     -93.8784
  1.02281e+09     -93.8265
  1.02312e+09     -92.9807
  1.02344e+09      -93.022
  1.02375e+09     -89.5238
  1.02406e+09     -77.1925
  1.02438e+09     -84.1308
  1.02469e+09     -88.0427
    1.025e+09     -90.0377
  1.02531e+09     -90.3274
  1.02562e+09       -89.34
  1.02594e+09     -89.3974
  1.02625e+09     -93.4588
  1.02656e+09     -100.016
  1.02688e+09     -97.8575
  1.02719e+09     -100.981
   1.0275e+09     -95.8937
  1.02781e+09     -78.9244
  1.02812e+09     -92.6894
  1.02844e+09     -96.6032
  1.02875e+09     -99.6337
  1.02906e+09     -97.4583
  1.02938e+09     -94.4073
  1.02969e+09     -97.1704
     1.03e+09     -97.9305
  1.03031e+09     -95.5481
  1.03062e+09     -96.6112
  1.03094e+09     -97.8958
  1.03125e+09     -99.0812
  1.03156e+09     -97.5515
  1.03188e+09     -97.8952
  1.03219e+09     -99.4494
   1.0325e+09     -96.9475
  1.03281e+09     -98.3422
  1.03312e+09     -100.615
  1.03344e+09     -100.024
  1.03375e+09     -97.7845
  1.03406e+09     -95.9362
  1.03438e+09     -97.3414
  1.03469e+09      -95.428
    1.035e+09      -98.842
  1.03531e+09     -96.3837
  1.03562e+09     -99.5512
  1.03594e+09     -95.5934
  1.03625e+09     -97.1304
  1.03656e+09     -96.0071
  1.03688e+09     -94.6661
  1.03719e+09     -96.1155
   1.0375e+09     -96.4522
  1.03781e+09     -93.8493
  1.03812e+09     -93.4363
  1.03844e+09     -91.8841
  1.03875e+09     -93.5379
  1.03906e+09     -90.0873
  1.03938e+09        -89.1
  1.03969e+09     -87.7873
     1.04e+09      -87.101
  1.04031e+09     -84.5495
  1.04062e+09     -83.6221
  1.04094e+09     -83.9497
  1.04125e+09     -84.6087
  1.04156e+09     -86.2408
  1.04188e+09     -88.7612
  1.04219e+09     -88.8379
   1.0425e+09     -93.4307
  1.04281e+09     -93.7602
  1.04312e+09     -96.6281
  1.04344e+09     -96.9776
  1.04375e+09     -98.6197
  1.04406e+09     -104.424
  1.04438e+09     -98.9599
  1.04469e+09     -108.306
    1.045e+09     -106.875
  1.04531e+09     -110.368
  1.04562e+09     -109.419
  1.04594e+09     -103.054
  1.04625e+09     -94.9924
  1.04656e+09     -94.3851
  1.04688e+09     -97.9088
  1.04719e+09     -99.0903
   1.0475e+09     -100.723
  1.04781e+09     -99.5292
  1.04812e+09     -100.042
  1.04844e+09     -98.7328
  1.04875e+09     -100.819
  1.04906e+09     -96.1634
  1.04938e+09     -97.3906
  1.04969e+09     -96.5301
     1.05e+09     -96.5543
  1.05031e+09     -93.1696
  1.05062e+09     -93.1094
  1.05094e+09     -92.5383
  1.05125e+09     -90.9988
  1.05156e+09     -89.3477
  1.05188e+09     -87.7861
  1.05219e+09      -86.636
   1.0525e+09     -84.9245
  1.05281e+09     -83.6917
  1.05312e+09     -83.1776
  1.05344e+09     -83.7039
  1.05375e+09      -84.058
  1.05406e+09     -84.6737
  1.05438e+09     -85.4906
  1.05469e+09     -85.9629
    1.055e+09     -87.0831
  1.05531e+09     -86.9379
  1.05562e+09     -88.2164
  1.05594e+09     -89.5937
  1.05625e+09     -91.9613
  1.05656e+09     -90.1709
  1.05688e+09     -89.8429
  1.05719e+09     -90.0542
   1.0575e+09     -92.3452
  1.05781e+09       -90.83
  1.05812e+09     -91.5326
  1.05844e+09      -91.338
  1.05875e+09      -91.588
  1.05906e+09     -91.9254
  1.05938e+09     -91.2241
  1.05969e+09     -92.2825
     1.06e+09     -91.7597
  1.06031e+09     -92.5004
  1.06062e+09     -92.8689
  1.06094e+09     -92.1683
  1.06125e+09     -91.8906
  1.06156e+09     -92.5526
  1.06188e+09      -93.923
  1.06219e+09     -92.7987
   1.0625e+09     -92.3787
  1.06281e+09     -92.6071
  1.06312e+09     -91.5659
  1.06344e+09     -91.7954
  1.06375e+09     -91.5645
  1.06406e+09     -94.2329
  1.06438e+09     -92.8492
  1.06469e+09     -92.3696
    1.065e+09      -95.224
  1.06531e+09     -93.7108
  1.06562e+09     -93.8531
  1.06594e+09     -94.5882
  1.06625e+09     -94.3889
  1.06656e+09     -95.0682
  1.06688e+09     -96.6552
  1.06719e+09     -97.4481
   1.0675e+09     -97.8809
  1.06781e+09     -96.2295
  1.06812e+09      -96.276
  1.06844e+09      -97.488
  1.06875e+09     -102.575
  1.06906e+09     -99.7581
  1.06938e+09     -102.929
  1.06969e+09     -98.4668
     1.07e+09     -95.5481
  1.07031e+09     -91.7512
  1.07062e+09      -88.685
  1.07094e+09     -83.8891
  1.07125e+09     -79.2733
  1.07156e+09     -73.6036
  1.07188e+09     -65.1315
  1.07219e+09     -62.0756
   1.0725e+09     -67.4864
  1.07281e+09     -70.2586
  1.07312e+09     -71.7601
  1.07344e+09     -73.2448
  1.07375e+09     -75.5315
  1.07406e+09     -78.2764
  1.07438e+09     -81.9475
  1.07469e+09     -84.7741
    1.075e+09     -87.8822
  1.07531e+09     -92.8071
  1.07562e+09      -95.284
  1.07594e+09     -99.6212
  1.07625e+09       -109.4
  1.07656e+09     -102.833
  1.07688e+09     -103.317
  1.07719e+09     -101.128
   1.0775e+09      -101.94
  1.07781e+09     -97.0979
  1.07812e+09     -99.7404
  1.07844e+09     -96.9158
  1.07875e+09     -98.3967
  1.07906e+09     -93.9981
  1.07938e+09     -94.6481
  1.07969e+09     -91.8294
     1.08e+09     -98.7486
  1.08031e+09     -101.616
  1.08062e+09     -96.2724
  1.08094e+09     -96.7972
  1.08125e+09     -96.0877
  1.08156e+09     -98.4235
  1.08188e+09     -104.968
  1.08219e+09     -95.3257
   1.0825e+09     -94.6187
  1.08281e+09     -94.7523
  1.08312e+09     -94.5021
  1.08344e+09     -95.9601
  1.08375e+09     -99.1157
  1.08406e+09     -96.3149
  1.08438e+09     -95.9559
  1.08469e+09     -97.1518
    1.085e+09     -96.9801
  1.08531e+09     -96.8614
  1.08562e+09     -95.5443
  1.08594e+09     -95.7809
  1.08625e+09     -96.0054
  1.08656e+09     -94.1754
  1.08688e+09     -96.0198
  1.08719e+09     -99.9176
   1.0875e+09     -96.5132
  1.08781e+09      -97.159
  1.08812e+09     -97.4341
  1.08844e+09     -96.6442
  1.08875e+09     -97.8348
  1.08906e+09     -97.4357
  1.08938e+09     -96.9802
  1.08969e+09     -100.229
     1.09e+09     -95.6542
  1.09031e+09     -96.7681
  1.09062e+09      -94.661
  1.09094e+09     -95.0641
  1.09125e+09     -95.0419
  1.09156e+09     -94.0646
  1.09188e+09     -96.1803
  1.09219e+09     -93.7605
   1.0925e+09     -94.0561
  1.09281e+09     -94.7476
  1.09312e+09     -95.4686
  1.09344e+09     -92.8862
  1.09375e+09     -93.8075
  1.09406e+09     -93.7383
  1.09438e+09      -94.043
  1.09469e+09     -92.8145
    1.095e+09     -92.9898
  1.09531e+09     -93.1503
  1.09562e+09     -92.8958
  1.09594e+09     -94.9832
  1.09625e+09     -93.6466
  1.09656e+09     -91.9672
  1.09688e+09     -93.9018
  1.09719e+09     -93.7451
   1.0975e+09     -92.3394
  1.09781e+09     -91.9189
  1.09812e+09     -93.1281
  1.09844e+09     -91.7283
  1.09875e+09     -90.9415
  1.09906e+09     -93.2125
  1.09938e+09     -91.6684
  1.09969e+09     -92.1401
      1.1e+09     -92.4583
  1.10031e+09     -92.8262
  1.10062e+09     -92.0311
  1.10094e+09     -91.9501
  1.10125e+09     -93.8776
  1.10156e+09     -93.8098
  1.10188e+09       -91.56
  1.10219e+09     -93.9759
   1.1025e+09     -94.3074
  1.10281e+09     -94.5059
  1.10312e+09     -93.8288
  1.10344e+09     -92.7732
  1.10375e+09     -92.9901
  1.10406e+09     -92.9712
  1.10438e+09     -95.4763
  1.10469e+09     -93.6964
    1.105e+09     -92.5296
  1.10531e+09      -93.216
  1.10562e+09     -93.3112
  1.10594e+09     -92.0705
  1.10625e+09     -92.3488
  1.10656e+09     -93.9084
  1.10688e+09     -92.3102
  1.10719e+09     -92.7954
   1.1075e+09     -90.6014
  1.10781e+09     -91.7572
  1.10812e+09     -91.9296
  1.10844e+09     -93.0965
  1.10875e+09     -91.8047
  1.10906e+09       -92.35
  1.10938e+09      -90.781
  1.10969e+09     -89.9119
     1.11e+09      -90.496
  1.11031e+09     -89.9031
  1.11062e+09     -89.7925
  1.11094e+09     -89.2378
  1.11125e+09      -87.903
  1.11156e+09     -88.8384
  1.11188e+09     -89.5406
  1.11219e+09     -88.6097
   1.1125e+09     -88.8849
  1.11281e+09     -89.2631
  1.11312e+09     -88.1435
  1.11344e+09     -89.0729
  1.11375e+09     -88.3211
  1.11406e+09     -88.6085
  1.11438e+09     -88.8557
  1.11469e+09     -89.9018
    1.115e+09     -88.9924
  1.11531e+09     -88.0121
  1.11562e+09     -89.5501
  1.11594e+09     -89.1892
  1.11625e+09      -87.604
  1.11656e+09     -88.9826
  1.11688e+09      -88.856
  1.11719e+09     -89.3675
   1.1175e+09     -89.0021
  1.11781e+09       -88.86
  1.11812e+09     -88.9298
  1.11844e+09     -89.0528
  1.11875e+09     -89.2195
  1.11906e+09     -89.6401
  1.11938e+09      -88.626
  1.11969e+09     -89.7692
     1.12e+09     -88.5311
  1.12031e+09     -88.7309
  1.12062e+09     -88.7157
  1.12094e+09     -90.3343
  1.12125e+09     -90.1903
  1.12156e+09     -89.2355
  1.12188e+09     -88.0435
  1.12219e+09     -88.0836
   1.1225e+09      -88.571
  1.12281e+09     -88.1644
  1.12312e+09     -87.3401
  1.12344e+09     -88.4184
  1.12375e+09     -88.4408
  1.12406e+09     -88.1929
  1.12438e+09        -87.6
  1.12469e+09     -87.4669
    1.125e+09     -88.0878
  1.12531e+09     -86.5888
  1.12562e+09     -89.0906
  1.12594e+09     -86.5206
  1.12625e+09     -86.5768
  1.12656e+09     -87.2483
  1.12688e+09      -86.648
  1.12719e+09     -86.2939
   1.1275e+09     -87.0124
  1.12781e+09       -86.41
  1.12812e+09     -86.4732
  1.12844e+09     -85.7544
  1.12875e+09     -86.3313
  1.12906e+09     -85.6941
  1.12938e+09     -85.9917
  1.12969e+09     -86.0833
     1.13e+09     -85.6174
  1.13031e+09      -85.468
  1.13062e+09     -85.8244
  1.13094e+09     -85.7227
  1.13125e+09     -85.6358
  1.13156e+09     -85.2219
  1.13188e+09     -85.9042
  1.13219e+09     -85.7932
   1.1325e+09     -86.0504
  1.13281e+09     -85.7625
  1.13312e+09     -85.0965
  1.13344e+09     -85.0272
  1.13375e+09     -85.7648
  1.13406e+09     -85.2093
  1.13438e+09     -85.6535
  1.13469e+09     -85.4683
    1.135e+09     -85.3347
  1.13531e+09     -85.7675
  1.13562e+09     -85.1706
  1.13594e+09     -85.6031
  1.13625e+09     -85.0442
  1.13656e+09     -85.6334
  1.13688e+09       -86.08
  1.13719e+09     -85.3163
   1.1375e+09     -85.2918
  1.13781e+09     -85.6634
  1.13812e+09     -85.1893
  1.13844e+09     -85.2365
  1.13875e+09     -85.2728
  1.13906e+09     -84.9556
  1.13938e+09      -84.773
  1.13969e+09     -83.8965
     1.14e+09     -80.9112
  1.14031e+09     -83.5698
  1.14062e+09     -85.9347
  1.14094e+09     -86.2615
  1.14125e+09     -87.0582
  1.14156e+09     -90.4069
  1.14188e+09      -88.901
  1.14219e+09     -88.2705
   1.1425e+09     -87.3926
  1.14281e+09      -85.653
  1.14312e+09     -84.2568
  1.14344e+09     -84.3552
  1.14375e+09     -83.6426
  1.14406e+09     -83.3264
  1.14438e+09      -82.809
  1.14469e+09     -82.7508
    1.145e+09     -82.7632
  1.14531e+09     -82.1409
  1.14562e+09     -82.0849
  1.14594e+09     -81.7933
  1.14625e+09     -82.0938
  1.14656e+09     -81.3409
  1.14688e+09     -80.7618
  1.14719e+09     -80.8693
   1.1475e+09     -81.1586
  1.14781e+09     -80.7295
  1.14812e+09     -80.5549
  1.14844e+09     -80.4468
  1.14875e+09     -79.9849
  1.14906e+09     -79.7736
  1.14938e+09      -79.758
  1.14969e+09      -79.304
     1.15e+09     -79.4602
  1.15031e+09     -79.2396
  1.15062e+09     -79.2675
  1.15094e+09      -79.187
  1.15125e+09     -79.0947
  1.15156e+09     -79.1357
  1.15188e+09     -79.7702
  1.15219e+09     -79.8612
   1.1525e+09     -80.3118
  1.15281e+09     -81.2777
  1.15312e+09     -81.9154
  1.15344e+09     -82.8905
  1.15375e+09     -83.3495
  1.15406e+09     -84.4777
  1.15438e+09     -85.2887
  1.15469e+09     -84.7839
    1.155e+09     -84.4312
  1.15531e+09     -83.9969
  1.15562e+09     -83.7478
  1.15594e+09     -82.3363
  1.15625e+09     -80.0939
  1.15656e+09     -76.6764
  1.15688e+09      -99.423
  1.15719e+09     -82.9893
   1.1575e+09     -78.0756
  1.15781e+09     -77.1835
  1.15812e+09     -76.7015
  1.15844e+09     -76.0016
  1.15875e+09     -75.3681
  1.15906e+09     -74.5238
  1.15938e+09     -74.1592
  1.15969e+09     -74.3439
     1.16e+09     -76.7756
  1.16031e+09     -84.2126
  1.16062e+09     -89.9833
  1.16094e+09     -78.3849
  1.16125e+09     -74.5474
  1.16156e+09     -87.8207
  1.16188e+09     -87.7538
  1.16219e+09     -81.0893
   1.1625e+09     -78.9533
  1.16281e+09     -76.1913
  1.16312e+09        -70.9
  1.16344e+09     -69.1802
  1.16375e+09     -68.4601
  1.16406e+09     -67.7096
