#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#    f (MHz)   A (dB m^2) 
        1e+09     -96.1334
  1.00031e+09     -95.5267
  1.00062e+09     -95.6206
  1.00094e+09     -95.2567
  1.00125e+09     -97.8732
  1.00156e+09     -96.1479
  1.00188e+09     -98.1629
  1.00219e+09     -94.9601
   1.0025e+09     -94.9641
  1.00281e+09     -96.6826
  1.00312e+09     -99.5579
  1.00344e+09     -97.8224
  1.00375e+09     -95.5426
  1.00406e+09     -95.7374
  1.00438e+09     -94.3839
  1.00469e+09     -99.4832
    1.005e+09     -98.5499
  1.00531e+09     -93.8497
  1.00562e+09     -98.2145
  1.00594e+09     -99.4597
  1.00625e+09     -93.9093
  1.00656e+09     -97.7174
  1.00688e+09     -95.2129
  1.00719e+09     -95.9825
   1.0075e+09     -96.2732
  1.00781e+09     -95.2223
  1.00812e+09     -95.4884
  1.00844e+09     -93.9506
  1.00875e+09     -97.0953
  1.00906e+09     -96.6565
  1.00938e+09     -94.8277
  1.00969e+09     -94.2549
     1.01e+09     -92.3118
  1.01031e+09     -93.5177
  1.01062e+09     -92.4611
  1.01094e+09     -93.2905
  1.01125e+09     -93.4592
  1.01156e+09     -92.4812
  1.01188e+09     -93.8607
  1.01219e+09     -93.0742
   1.0125e+09     -92.7237
  1.01281e+09     -91.9549
  1.01312e+09     -92.1388
  1.01344e+09     -93.3172
  1.01375e+09     -91.8778
  1.01406e+09     -91.2635
  1.01438e+09     -91.6964
  1.01469e+09     -92.6846
    1.015e+09     -92.2709
  1.01531e+09     -92.6321
  1.01562e+09     -93.1083
  1.01594e+09     -91.4032
  1.01625e+09     -91.2147
  1.01656e+09     -91.3874
  1.01688e+09     -89.6407
  1.01719e+09     -90.9884
   1.0175e+09     -90.6842
  1.01781e+09     -92.3253
  1.01812e+09     -91.3574
  1.01844e+09       -92.25
  1.01875e+09     -91.9654
  1.01906e+09     -92.8526
  1.01938e+09     -90.0938
  1.01969e+09     -91.7407
     1.02e+09     -91.7723
  1.02031e+09     -90.8421
  1.02062e+09     -91.5613
  1.02094e+09     -91.2122
  1.02125e+09     -91.8657
  1.02156e+09     -90.8347
  1.02188e+09     -89.5954
  1.02219e+09     -91.4728
   1.0225e+09     -90.7378
  1.02281e+09     -93.4708
  1.02312e+09     -92.8271
  1.02344e+09     -89.5395
  1.02375e+09      -89.511
  1.02406e+09     -91.4409
  1.02438e+09     -89.2262
  1.02469e+09     -88.5487
    1.025e+09     -88.6415
  1.02531e+09     -88.5923
  1.02562e+09     -87.3938
  1.02594e+09     -87.1551
  1.02625e+09      -87.711
  1.02656e+09     -86.9248
  1.02688e+09     -85.6818
  1.02719e+09     -85.7958
   1.0275e+09      -85.003
