#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#      f(MHz)    AF (dB/m) 
        1e+08      44.3748
  1.05247e+08      52.8105
  1.10493e+08      55.9586
   1.1574e+08      57.8113
  1.20987e+08      59.7127
  1.26234e+08      61.4291
   1.3148e+08      62.8613
  1.36727e+08      65.5762
  1.41974e+08      66.3951
   1.4722e+08      67.1091
  1.52467e+08      67.1671
  1.57714e+08      67.0425
  1.62961e+08      67.2423
  1.68207e+08       67.537
  1.73454e+08      68.0555
  1.78701e+08      68.3346
  1.83948e+08      68.3865
  1.89194e+08      67.3291
  1.94441e+08           68
  1.99688e+08      68.3099
  2.04934e+08      69.1587
  2.10181e+08      69.0319
  2.15428e+08      68.8593
  2.20675e+08      68.8058
  2.25921e+08      68.5035
  2.31168e+08      68.1575
  2.36415e+08      68.0309
  2.41662e+08      70.5027
  2.46908e+08      69.8734
  2.52155e+08      71.4761
  2.57402e+08      70.8085
  2.62648e+08       70.817
  2.67895e+08      70.8644
  2.73142e+08      70.8843
  2.78388e+08      70.7064
  2.83635e+08      70.5867
  2.88882e+08      70.4606
  2.94129e+08      68.0357
  2.99375e+08      68.1029
  3.04622e+08      65.2276
  3.09869e+08      65.1691
  3.15116e+08      65.2316
  3.20362e+08      65.2446
  3.25609e+08      65.1544
  3.30856e+08      65.4821
  3.36102e+08      65.6122
  3.41349e+08      65.7296
  3.46596e+08      65.6675
  3.51843e+08      67.5387
  3.57089e+08      67.7077
  3.62336e+08      67.9113
  3.67583e+08        67.89
   3.7283e+08      67.9596
  3.78076e+08      67.9295
  3.83323e+08      67.8432
   3.8857e+08      67.9351
  3.93816e+08      68.0546
  3.99063e+08      67.9549
   4.0431e+08      66.2844
  4.09556e+08       65.966
  4.14803e+08      65.7657
   4.2005e+08      65.5221
  4.25297e+08      65.1234
  4.30543e+08      64.9197
   4.3579e+08      64.5298
  4.41037e+08      64.1667
  4.46284e+08      63.8789
   4.5153e+08       63.555
  4.56777e+08      63.1727
  4.62024e+08      62.9389
   4.6727e+08       62.654
  4.72517e+08      62.4148
  4.77764e+08      62.1847
  4.83011e+08      61.9609
  4.88257e+08      61.8912
  4.93504e+08      61.7909
  4.98751e+08      61.5996
  5.03998e+08      61.5221
  5.09244e+08      61.5188
  5.14491e+08      61.5496
  5.19738e+08      61.5064
  5.24984e+08      61.5552
  5.30231e+08      61.5963
  5.35478e+08      61.5853
  5.40724e+08      61.5267
  5.45971e+08      61.5377
  5.51218e+08      61.5097
  5.56465e+08      61.4892
  5.61711e+08      61.4885
  5.66958e+08      61.4055
  5.72205e+08       61.417
  5.77452e+08      61.3335
  5.82698e+08      61.2743
  5.87945e+08      61.1781
  5.93192e+08      61.0569
  5.98438e+08       60.966
  6.03685e+08      60.8371
  6.08932e+08      60.7612
  6.14179e+08      60.6342
  6.19425e+08      60.5683
  6.24672e+08      60.3646
  6.29919e+08      60.2344
  6.35166e+08      60.1289
  6.40412e+08      60.0756
  6.45659e+08      59.9882
  6.50906e+08      59.9496
  6.56152e+08      59.8751
  6.61399e+08      59.7685
  6.66646e+08      59.7034
  6.71893e+08       59.611
  6.77139e+08      59.5921
  6.82386e+08      59.5611
  6.87633e+08      59.4891
   6.9288e+08      59.4054
  6.98126e+08      59.3498
  7.03373e+08      59.2471
   7.0862e+08      59.1751
  7.13866e+08      59.1119
  7.19113e+08      59.0038
   7.2436e+08       58.897
  7.29606e+08       58.754
  7.34853e+08      58.6477
    7.401e+08      58.5829
  7.45347e+08      58.5148
  7.50593e+08      58.3935
   7.5584e+08      58.2769
  7.61087e+08      58.1674
  7.66334e+08      58.0656
   7.7158e+08       57.937
  7.76827e+08      57.8327
  7.82074e+08      57.7807
   7.8732e+08      57.6907
  7.92567e+08      57.5931
  7.97814e+08      57.4803
  8.03061e+08      57.4107
  8.08307e+08      57.3119
  8.13554e+08       57.253
  8.18801e+08      57.1931
  8.24048e+08      57.1399
  8.29294e+08      57.0936
  8.34541e+08      57.0149
  8.39788e+08      56.9203
  8.45034e+08      56.8637
  8.50281e+08      56.8336
  8.55528e+08      56.8045
  8.60774e+08        56.79
  8.66021e+08      56.7524
  8.71268e+08      56.7001
  8.76515e+08      56.6743
  8.81761e+08      56.6212
  8.87008e+08      56.5927
  8.92255e+08      56.5647
  8.97502e+08      56.5263
  9.02748e+08      56.4513
  9.07995e+08      56.3913
  9.13242e+08      56.3276
  9.18488e+08      56.2656
  9.23735e+08      56.2023
  9.28982e+08      56.1229
  9.34229e+08      56.0501
  9.39475e+08      55.9739
  9.44722e+08      55.9121
  9.49969e+08      55.8511
  9.55216e+08      55.8058
  9.60462e+08      55.7185
  9.65709e+08      55.6394
  9.70956e+08      55.5513
  9.76202e+08      55.4874
  9.81449e+08      55.4442
  9.86696e+08      55.3968
  9.91942e+08      55.3385
  9.97189e+08      55.2689
  1.00244e+09      55.2128
  1.00768e+09      55.1492
  1.01293e+09       55.097
  1.01818e+09       55.058
  1.02342e+09      55.0307
  1.02867e+09      54.9945
  1.03392e+09      54.9461
  1.03916e+09      54.8848
  1.04441e+09      54.8403
  1.04966e+09      54.7991
   1.0549e+09      54.7473
  1.06015e+09       54.709
   1.0654e+09      54.6788
  1.07064e+09      54.6266
  1.07589e+09      54.5712
  1.08114e+09      54.5191
  1.08638e+09       54.459
  1.09163e+09      54.4158
  1.09688e+09      54.3585
  1.10212e+09      54.3172
  1.10737e+09      54.2688
  1.11262e+09      54.1956
  1.11786e+09      54.1314
  1.12311e+09      54.0772
  1.12836e+09      54.0284
   1.1336e+09      53.9619
  1.13885e+09      53.9113
   1.1441e+09      53.8674
  1.14934e+09      53.8216
  1.15459e+09      53.7577
  1.15984e+09      53.6913
  1.16508e+09      53.6452
  1.17033e+09      53.5988
  1.17558e+09      53.5536
