#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(S11)      Im(S11)      Re(S12)      Im(S12)      Re(S21)      Im(S21)      Re(S22)      Im(S22) 
            0    -0.997497  1.22154e-16   1.2271e-05            0   1.2271e-05            0    -0.997497  1.22154e-16
   5.9958e+07    -0.997497 -3.37278e-05 -5.77308e-05  6.19027e-05 -5.77308e-05  6.19027e-05    -0.997497 -3.37278e-05
  1.19916e+08    -0.997497 -6.90472e-05  -5.7372e-05  0.000122897  -5.7372e-05  0.000122897    -0.997497 -6.90472e-05
  1.79874e+08    -0.997497 -0.000104104 -5.72799e-05  0.000183779 -5.72799e-05  0.000183779    -0.997497 -0.000104104
  2.39832e+08    -0.997497 -0.000138722 -5.67414e-05  0.000245421 -5.67414e-05  0.000245421    -0.997497 -0.000138722
   2.9979e+08    -0.997497 -0.000174061  -5.6156e-05  0.000306556  -5.6156e-05  0.000306556    -0.997497 -0.000174061
  3.59748e+08    -0.997497 -0.000209122 -5.58894e-05  0.000367826 -5.58894e-05  0.000367826    -0.997497 -0.000209122
  4.19706e+08    -0.997497 -0.000244022 -5.50734e-05  0.000429319 -5.50734e-05  0.000429319    -0.997497 -0.000244022
  4.79664e+08    -0.997497 -0.000278921 -5.42775e-05  0.000490665 -5.42775e-05  0.000490665    -0.997497 -0.000278921
  5.39622e+08    -0.997497 -0.000312915 -5.35785e-05   0.00055212 -5.35785e-05   0.00055212    -0.997497 -0.000312915
   5.9958e+08    -0.997497  -0.00034754 -5.26701e-05  0.000613666 -5.26701e-05  0.000613666    -0.997497  -0.00034754
  6.59538e+08    -0.997497 -0.000382028 -5.16623e-05  0.000675188 -5.16623e-05  0.000675188    -0.997497 -0.000382028
