#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#       f(Hz)      Re(Z11)      Im(Z11)      Re(Z12)      Im(Z12)      Re(Z21)      Im(Z21)      Re(Z22)      Im(Z22) 
            0     0.472094  2.30673e-14   0.00231723  2.83413e-19   0.00231723  2.83413e-19     0.472094  2.30673e-14
   5.9958e+07     0.472094  -0.00636975   -0.0109014    0.0116899   -0.0109014    0.0116899     0.472094  -0.00636975
  1.19916e+08     0.472094     -0.01304   -0.0108324    0.0232083   -0.0108324    0.0232083     0.472094     -0.01304
  1.79874e+08     0.472094   -0.0196608    -0.010813    0.0347056    -0.010813    0.0347056     0.472094   -0.0196608
  2.39832e+08     0.472094   -0.0261985   -0.0107085    0.0463462   -0.0107085    0.0463462     0.472094   -0.0261985
   2.9979e+08     0.472094   -0.0328726   -0.0105943    0.0578911   -0.0105943    0.0578911     0.472094   -0.0328726
  3.59748e+08     0.472094    -0.039494   -0.0105395    0.0694616   -0.0105395    0.0694616     0.472094    -0.039494
  4.19706e+08     0.472094   -0.0460849   -0.0103801    0.0810741   -0.0103801    0.0810741     0.472094   -0.0460849
  4.79664e+08     0.472094   -0.0526758   -0.0102238    0.0926588   -0.0102238    0.0926588     0.472094   -0.0526758
  5.39622e+08     0.472094   -0.0590957    -0.010085     0.104264    -0.010085     0.104264     0.472094   -0.0590957
   5.9958e+08     0.472094   -0.0656347  -0.00990576     0.115887  -0.00990576     0.115887     0.472094   -0.0656347
  6.59538e+08     0.472094   -0.0721478  -0.00970701     0.127505  -0.00970701     0.127505     0.472094   -0.0721478
  7.19496e+08     0.472094   -0.0785597  -0.00951016     0.139142  -0.00951016     0.139142     0.472094   -0.0785597
  7.79454e+08     0.472094   -0.0851847  -0.00929752       0.1508  -0.00929752       0.1508     0.472094   -0.0851847
  8.39412e+08     0.472094   -0.0916392  -0.00906523     0.162474  -0.00906523     0.162474     0.472094   -0.0916392
   8.9937e+08     0.472094   -0.0980492  -0.00882964     0.174152  -0.00882964     0.174152     0.472094   -0.0980492
  9.59328e+08     0.472094     -0.10451  -0.00859819     0.185862  -0.00859819     0.185862     0.472094     -0.10451
  1.01929e+09     0.472094    -0.111114  -0.00835104     0.197597  -0.00835104     0.197597     0.472094    -0.111114
  1.07924e+09     0.472094    -0.116909  -0.00809665     0.209351  -0.00809665     0.209351     0.472094    -0.116909
   1.1392e+09     0.472094    -0.123376  -0.00782706     0.221141  -0.00782706     0.221141     0.472094    -0.123376
  1.19916e+09     0.472094    -0.129825  -0.00754642     0.232937  -0.00754642     0.232937     0.472094    -0.129825
  1.25912e+09     0.472094     -0.13634  -0.00727605     0.244752  -0.00727605     0.244752     0.472094     -0.13634
  1.31908e+09     0.472094    -0.142786  -0.00699303     0.256616  -0.00699303     0.256616     0.472094    -0.142786
  1.37903e+09     0.472094    -0.148428  -0.00670637     0.268483  -0.00670637     0.268483     0.472094    -0.148428
  1.43899e+09     0.472094    -0.154641  -0.00642854     0.280384  -0.00642854     0.280384     0.472094    -0.154641
  1.49895e+09     0.472094    -0.160559  -0.00613866     0.292311  -0.00613866     0.292311     0.472094    -0.160559
  1.55891e+09     0.472094    -0.167072  -0.00586729     0.304269  -0.00586729     0.304269     0.472094    -0.167072
  1.61887e+09     0.472094    -0.174082  -0.00558233     0.316263  -0.00558233     0.316263     0.472094    -0.174082
  1.67882e+09     0.472094    -0.179473  -0.00530661     0.328282  -0.00530661     0.328282     0.472094    -0.179473
  1.73878e+09     0.472095    -0.184887  -0.00504389     0.340335  -0.00504389     0.340335     0.472095    -0.184887
  1.79874e+09     0.472095    -0.191341  -0.00477621     0.352422  -0.00477621     0.352422     0.472095    -0.191341
   1.8587e+09     0.472095    -0.197416  -0.00450275     0.364531  -0.00450275     0.364531     0.472095    -0.197416
  1.91866e+09     0.472095    -0.203797  -0.00424737     0.376664  -0.00424737     0.376664     0.472095    -0.203797
  1.97861e+09     0.472095    -0.208845  -0.00401087     0.388823  -0.00401087     0.388823     0.472095    -0.208845
  2.03857e+09     0.472095    -0.215187  -0.00378432     0.401023  -0.00378432     0.401023     0.472095    -0.215187
  2.09853e+09     0.472095    -0.221442  -0.00356406     0.413247  -0.00356406     0.413247     0.472095    -0.221442
  2.15849e+09     0.472095     -0.22678  -0.00336688     0.425501  -0.00336688     0.425501     0.472095     -0.22678
  2.21845e+09     0.472095    -0.233386  -0.00318615     0.437787  -0.00318615     0.437787     0.472095    -0.233386
   2.2784e+09     0.472095    -0.239073  -0.00301653     0.450104  -0.00301653     0.450104     0.472095    -0.239073
  2.33836e+09     0.472095     -0.24535  -0.00286782      0.46245  -0.00286782      0.46245     0.472095     -0.24535
  2.39832e+09     0.472095    -0.250205  -0.00274283     0.474826  -0.00274283     0.474826     0.472095    -0.250205
  2.45828e+09     0.472095    -0.255856  -0.00263942     0.487227  -0.00263942     0.487227     0.472095    -0.255856
  2.51824e+09     0.472095     -0.26222  -0.00255679     0.499665  -0.00255679     0.499665     0.472095     -0.26222
  2.57819e+09     0.472095    -0.267312  -0.00249248     0.512131  -0.00249248     0.512131     0.472095    -0.267312
  2.63815e+09     0.472095    -0.273114  -0.00244952     0.524619  -0.00244952     0.524619     0.472095    -0.273114
  2.69811e+09     0.472095    -0.278758  -0.00243782     0.537135  -0.00243782     0.537135     0.472095    -0.278758
  2.75807e+09     0.472095    -0.284924   -0.0024483     0.549678   -0.0024483     0.549678     0.472095    -0.284924
  2.81803e+09     0.472095    -0.290462  -0.00248612     0.562243  -0.00248612     0.562243     0.472095    -0.290462
  2.87798e+09     0.472095    -0.295515  -0.00255465     0.574833  -0.00255465     0.574833     0.472095    -0.295515
  2.93794e+09     0.472095     -0.30049  -0.00265397     0.587444  -0.00265397     0.587444     0.472095     -0.30049
   2.9979e+09     0.472095    -0.306439  -0.00278046     0.600082  -0.00278046     0.600082     0.472095    -0.306439
  3.05786e+09     0.472095    -0.312307  -0.00294122     0.612736  -0.00294122     0.612736     0.472095    -0.312307
  3.11782e+09     0.472096    -0.317604  -0.00312896     0.625414  -0.00312896     0.625414     0.472096    -0.317604
  3.17777e+09     0.472096    -0.322172  -0.00335427     0.638105  -0.00335427     0.638105     0.472096    -0.322172
  3.23773e+09     0.472096    -0.327924  -0.00361178      0.65082  -0.00361178      0.65082     0.472096    -0.327924
  3.29769e+09     0.472096    -0.333686  -0.00390227     0.663551  -0.00390227     0.663551     0.472096    -0.333686
  3.35765e+09     0.472096    -0.339422  -0.00422502     0.676299  -0.00422502     0.676299     0.472096    -0.339422
  3.41761e+09     0.472096    -0.344406  -0.00458516     0.689055  -0.00458516     0.689055     0.472096    -0.344406
  3.47756e+09     0.472096    -0.349236  -0.00498311     0.701826  -0.00498311     0.701826     0.472096    -0.349236
  3.53752e+09     0.472096    -0.354803  -0.00541743     0.714613  -0.00541743     0.714613     0.472096    -0.354803
  3.59748e+09     0.472096    -0.359982  -0.00589102     0.727412  -0.00589102     0.727412     0.472096    -0.359982
  3.65744e+09     0.472096    -0.365315  -0.00639674     0.740221  -0.00639674     0.740221     0.472096    -0.365315
   3.7174e+09     0.472096    -0.370863  -0.00694056     0.753037  -0.00694056     0.753037     0.472096    -0.370863
  3.77735e+09     0.472097    -0.375712   -0.0075152     0.765862   -0.0075152     0.765862     0.472097    -0.375712
  3.83731e+09     0.472097    -0.381026  -0.00812931     0.778692  -0.00812931     0.778692     0.472097    -0.381026
