#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(e11)      Im(e11) 
        5e+08  8.74602e-11 -9.62248e-11
  5.40201e+08  8.63191e-11 -9.60302e-11
  5.80402e+08  8.52018e-11 -9.55732e-11
  6.20603e+08  8.41077e-11 -9.48838e-11
  6.60804e+08  8.30364e-11 -9.39917e-11
  7.01005e+08  8.19873e-11 -9.29266e-11
  7.41206e+08  8.09599e-11 -9.17185e-11
  7.81407e+08  7.99537e-11  -9.0397e-11
  8.21608e+08  7.89682e-11 -8.89919e-11
  8.61809e+08  7.80028e-11 -8.75331e-11
   9.0201e+08  7.70569e-11 -8.60503e-11
  9.42211e+08  7.61302e-11 -8.45734e-11
  9.82412e+08   7.5222e-11  -8.3132e-11
  1.02261e+09  7.43319e-11  -8.1756e-11
  1.06281e+09  7.34592e-11 -8.04751e-11
  1.10302e+09  7.26036e-11 -7.93051e-11
  1.14322e+09  7.17644e-11 -7.82355e-11
  1.18342e+09  7.09411e-11 -7.72527e-11
  1.22362e+09  7.01333e-11 -7.63433e-11
  1.26382e+09  6.93403e-11 -7.54937e-11
  1.30402e+09  6.85617e-11 -7.46904e-11
  1.34422e+09   6.7797e-11   -7.392e-11
  1.38442e+09  6.70455e-11 -7.31688e-11
  1.42462e+09  6.63069e-11 -7.24235e-11
  1.46482e+09  6.55805e-11 -7.16724e-11
  1.50503e+09  6.48659e-11 -7.09142e-11
  1.54523e+09  6.41625e-11   -7.015e-11
  1.58543e+09  6.34698e-11 -6.93814e-11
  1.62563e+09  6.27872e-11 -6.86097e-11
  1.66583e+09  6.21143e-11 -6.78363e-11
  1.70603e+09  6.14505e-11 -6.70627e-11
  1.74623e+09  6.07953e-11 -6.62902e-11
  1.78643e+09  6.01482e-11 -6.55203e-11
  1.82663e+09   5.9509e-11 -6.47542e-11
  1.86683e+09  5.88777e-11 -6.39935e-11
  1.90704e+09  5.82543e-11 -6.32395e-11
  1.94724e+09  5.76391e-11 -6.24911e-11
  1.98744e+09  5.70319e-11  -6.1744e-11
  2.02764e+09  5.64329e-11  -6.0994e-11
  2.06784e+09  5.58421e-11 -6.02365e-11
  2.10804e+09  5.52596e-11 -5.94673e-11
  2.14824e+09  5.46856e-11 -5.86818e-11
  2.18844e+09  5.41199e-11 -5.78757e-11
  2.22864e+09  5.35628e-11 -5.70445e-11
  2.26884e+09  5.30142e-11 -5.61867e-11
  2.30905e+09  5.24744e-11 -5.53128e-11
  2.34925e+09  5.19433e-11 -5.44365e-11
  2.38945e+09  5.14211e-11  -5.3572e-11
  2.42965e+09  5.09079e-11 -5.27329e-11
  2.46985e+09  5.04039e-11 -5.19333e-11
  2.51005e+09  4.99091e-11 -5.11869e-11
  2.55025e+09  4.94236e-11 -5.05077e-11
  2.59045e+09  4.89476e-11 -4.99067e-11
  2.63065e+09  4.84812e-11 -4.93821e-11
  2.67085e+09  4.80245e-11  -4.8929e-11
  2.71106e+09  4.75775e-11 -4.85423e-11
  2.75126e+09  4.71405e-11 -4.82172e-11
  2.79146e+09  4.67134e-11 -4.79487e-11
  2.83166e+09  4.62965e-11 -4.77317e-11
  2.87186e+09  4.58893e-11 -4.75613e-11
  2.91206e+09  4.54913e-11 -4.74325e-11
  2.95226e+09  4.51021e-11 -4.73403e-11
  2.99246e+09   4.4721e-11 -4.72798e-11
  3.03266e+09  4.43475e-11 -4.72459e-11
  3.07286e+09  4.39812e-11 -4.72337e-11
  3.11307e+09  4.36215e-11 -4.72383e-11
  3.15327e+09  4.32679e-11 -4.72545e-11
  3.19347e+09  4.29198e-11 -4.72775e-11
  3.23367e+09  4.25767e-11 -4.73023e-11
  3.27387e+09  4.22382e-11 -4.73238e-11
  3.31407e+09  4.19036e-11 -4.73372e-11
  3.35427e+09  4.15725e-11 -4.73374e-11
  3.39447e+09  4.12444e-11 -4.73223e-11
  3.43467e+09  4.09193e-11  -4.7292e-11
